time,price,bidVolume,askVolume
2026-07-16T02:25:00.000Z,29698,5,13
2026-07-16T02:25:00.000Z,29698.25,1,6
2026-07-16T02:25:00.000Z,29698.5,0,8
2026-07-16T02:25:00.000Z,29698.75,0,8
2026-07-16T02:25:00.000Z,29699,0,7
2026-07-16T02:26:00.000Z,29691.75,1,0
2026-07-16T02:26:00.000Z,29692,6,0
2026-07-16T02:26:00.000Z,29692.25,10,0
2026-07-16T02:26:00.000Z,29692.5,8,0
2026-07-16T02:26:00.000Z,29692.75,13,4
2026-07-16T02:26:00.000Z,29693,6,3
2026-07-16T02:26:00.000Z,29693.25,7,2
2026-07-16T02:26:00.000Z,29693.5,10,4
2026-07-16T02:26:00.000Z,29693.75,4,4
2026-07-16T02:26:00.000Z,29694,14,2
2026-07-16T02:26:00.000Z,29694.25,20,2
2026-07-16T02:26:00.000Z,29694.5,20,4
2026-07-16T02:26:00.000Z,29694.75,14,6
2026-07-16T02:26:00.000Z,29695,22,20
2026-07-16T02:26:00.000Z,29695.25,12,18
2026-07-16T02:26:00.000Z,29695.5,9,34
2026-07-16T02:26:00.000Z,29695.75,9,8
2026-07-16T02:26:00.000Z,29696,4,14
2026-07-16T02:26:00.000Z,29696.25,10,22
2026-07-16T02:26:00.000Z,29696.5,12,22
2026-07-16T02:26:00.000Z,29696.75,9,22
2026-07-16T02:26:00.000Z,29697,40,33
2026-07-16T02:26:00.000Z,29697.25,18,17
2026-07-16T02:26:00.000Z,29697.5,17,44
2026-07-16T02:26:00.000Z,29697.75,24,24
2026-07-16T02:26:00.000Z,29698,24,35
2026-07-16T02:26:00.000Z,29698.25,35,28
2026-07-16T02:26:00.000Z,29698.5,18,17
2026-07-16T02:26:00.000Z,29698.75,4,16
2026-07-16T02:26:00.000Z,29699,11,13
2026-07-16T02:26:00.000Z,29699.25,4,5
2026-07-16T02:26:00.000Z,29699.5,10,8
2026-07-16T02:26:00.000Z,29699.75,3,13
2026-07-16T02:26:00.000Z,29700,3,60
2026-07-16T02:26:00.000Z,29700.25,1,2
2026-07-16T02:26:00.000Z,29700.5,1,1
2026-07-16T02:26:00.000Z,29700.75,0,11
2026-07-16T02:26:00.000Z,29701,1,10
2026-07-16T02:26:00.000Z,29701.25,0,5
2026-07-16T02:26:00.000Z,29701.5,0,7
2026-07-16T02:26:00.000Z,29701.75,0,12
2026-07-16T02:26:00.000Z,29702,0,4
2026-07-16T02:26:00.000Z,29702.25,0,2
2026-07-16T02:27:00.000Z,29685.25,3,0
2026-07-16T02:27:00.000Z,29685.5,5,0
2026-07-16T02:27:00.000Z,29685.75,2,3
2026-07-16T02:27:00.000Z,29686,11,4
2026-07-16T02:27:00.000Z,29686.25,15,5
2026-07-16T02:27:00.000Z,29686.5,14,9
2026-07-16T02:27:00.000Z,29686.75,5,10
2026-07-16T02:27:00.000Z,29687,7,13
2026-07-16T02:27:00.000Z,29687.25,7,16
2026-07-16T02:27:00.000Z,29687.5,13,9
2026-07-16T02:27:00.000Z,29687.75,29,8
2026-07-16T02:27:00.000Z,29688,11,16
2026-07-16T02:27:00.000Z,29688.25,16,20
2026-07-16T02:27:00.000Z,29688.5,13,14
2026-07-16T02:27:00.000Z,29688.75,5,28
2026-07-16T02:27:00.000Z,29689,11,14
2026-07-16T02:27:00.000Z,29689.25,5,10
2026-07-16T02:27:00.000Z,29689.5,25,5
2026-07-16T02:27:00.000Z,29689.75,12,18
2026-07-16T02:27:00.000Z,29690,19,4
2026-07-16T02:27:00.000Z,29690.25,7,19
2026-07-16T02:27:00.000Z,29690.5,4,15
2026-07-16T02:27:00.000Z,29690.75,11,4
2026-07-16T02:27:00.000Z,29691,6,9
2026-07-16T02:27:00.000Z,29691.25,6,8
2026-07-16T02:27:00.000Z,29691.5,4,5
2026-07-16T02:27:00.000Z,29691.75,8,5
2026-07-16T02:27:00.000Z,29692,3,3
2026-07-16T02:27:00.000Z,29692.25,6,12
2026-07-16T02:27:00.000Z,29692.5,12,13
2026-07-16T02:27:00.000Z,29692.75,30,6
2026-07-16T02:27:00.000Z,29693,26,14
2026-07-16T02:27:00.000Z,29693.25,13,15
2026-07-16T02:27:00.000Z,29693.5,4,8
2026-07-16T02:27:00.000Z,29693.75,9,5
2026-07-16T02:27:00.000Z,29694,7,8
2026-07-16T02:27:00.000Z,29694.25,15,5
2026-07-16T02:27:00.000Z,29694.5,14,9
2026-07-16T02:27:00.000Z,29694.75,14,2
2026-07-16T02:27:00.000Z,29695,12,12
2026-07-16T02:27:00.000Z,29695.25,6,10
2026-07-16T02:27:00.000Z,29695.5,5,7
2026-07-16T02:27:00.000Z,29695.75,2,1
2026-07-16T02:27:00.000Z,29696,1,0
2026-07-16T02:27:00.000Z,29696.25,1,4
2026-07-16T02:27:00.000Z,29696.5,0,1
2026-07-16T02:27:00.000Z,29696.75,2,10
2026-07-16T02:27:00.000Z,29697,2,3
2026-07-16T02:27:00.000Z,29697.25,7,0
2026-07-16T02:27:00.000Z,29697.5,7,0
2026-07-16T02:27:00.000Z,29697.75,13,2
2026-07-16T02:27:00.000Z,29698,13,1
2026-07-16T02:27:00.000Z,29698.25,5,3
2026-07-16T02:27:00.000Z,29698.5,5,9
2026-07-16T02:27:00.000Z,29698.75,3,15
2026-07-16T02:27:00.000Z,29699,0,15
2026-07-16T02:27:00.000Z,29699.25,2,10
2026-07-16T02:27:00.000Z,29699.75,2,0
2026-07-16T02:27:00.000Z,29700,4,15
2026-07-16T02:27:00.000Z,29700.25,4,1
2026-07-16T02:27:00.000Z,29700.5,0,3
2026-07-16T02:27:00.000Z,29700.75,7,2
2026-07-16T02:27:00.000Z,29701,3,6
2026-07-16T02:27:00.000Z,29701.25,3,3
2026-07-16T02:27:00.000Z,29701.5,15,2
2026-07-16T02:27:00.000Z,29701.75,20,5
2026-07-16T02:27:00.000Z,29702,26,12
2026-07-16T02:27:00.000Z,29702.25,14,19
2026-07-16T02:27:00.000Z,29702.5,18,15
2026-07-16T02:27:00.000Z,29702.75,7,18
2026-07-16T02:27:00.000Z,29703,4,7
2026-07-16T02:27:00.000Z,29703.25,9,6
2026-07-16T02:27:00.000Z,29703.5,9,7
2026-07-16T02:27:00.000Z,29703.75,5,3
2026-07-16T02:27:00.000Z,29704,6,16
2026-07-16T02:27:00.000Z,29704.25,5,5
2026-07-16T02:27:00.000Z,29704.5,6,3
2026-07-16T02:27:00.000Z,29704.75,0,6
2026-07-16T02:27:00.000Z,29705,1,27
2026-07-16T02:27:00.000Z,29705.25,10,8
2026-07-16T02:27:00.000Z,29705.5,11,19
2026-07-16T02:27:00.000Z,29705.75,3,24
2026-07-16T02:27:00.000Z,29706,0,10
2026-07-16T02:27:00.000Z,29706.25,0,5
2026-07-16T02:28:00.000Z,29684.5,6,0
2026-07-16T02:28:00.000Z,29684.75,14,0
2026-07-16T02:28:00.000Z,29685,16,2
2026-07-16T02:28:00.000Z,29685.25,30,8
2026-07-16T02:28:00.000Z,29685.5,18,15
2026-07-16T02:28:00.000Z,29685.75,11,6
2026-07-16T02:28:00.000Z,29686,14,7
2026-07-16T02:28:00.000Z,29686.25,15,11
2026-07-16T02:28:00.000Z,29686.5,8,5
2026-07-16T02:28:00.000Z,29686.75,5,9
2026-07-16T02:28:00.000Z,29687,10,11
2026-07-16T02:28:00.000Z,29687.25,10,11
2026-07-16T02:28:00.000Z,29687.5,21,15
2026-07-16T02:28:00.000Z,29687.75,15,15
2026-07-16T02:28:00.000Z,29688,13,11
2026-07-16T02:28:00.000Z,29688.25,8,13
2026-07-16T02:28:00.000Z,29688.5,2,8
2026-07-16T02:28:00.000Z,29688.75,18,11
